mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012659883499145508,0.00032969979735867933,0.005378866195678711,3.276450787499575e-05,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012496089935302735,0.00027975112372481345,0.005380678176879883,2.2321582155971208e-05,1,0.02,linear,"{'C': 1, 'gamma': 0.02, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012550783157348634,0.0002914771963547186,0.005374813079833984,2.7454642166942203e-05,1,0.03,linear,"{'C': 1, 'gamma': 0.03, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012531757354736328,0.0003079349981434078,0.005400705337524414,7.317196315653704e-05,1,0.04,linear,"{'C': 1, 'gamma': 0.04, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012488317489624024,0.00028488118730229256,0.005368423461914062,3.199943288463202e-05,1,0.05,linear,"{'C': 1, 'gamma': 0.05, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012496614456176757,0.00027320874233344227,0.005358171463012695,2.879259480514116e-05,1,0.06,linear,"{'C': 1, 'gamma': 0.06, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012540245056152343,0.0003417147158221382,0.005380964279174805,3.73502622579137e-05,1,0.07,linear,"{'C': 1, 'gamma': 0.07, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012512969970703124,0.00028693072859856074,0.005373525619506836,2.645797478141697e-05,1,0.08,linear,"{'C': 1, 'gamma': 0.08, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012524175643920898,0.0002657317009733125,0.005360794067382812,2.7227526996812097e-05,1,0.09,linear,"{'C': 1, 'gamma': 0.09, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012505483627319337,0.00026940714568144644,0.005385112762451172,4.272162903881173e-05,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012546443939208984,0.0003659501239746267,0.0053707599639892575,3.15252476662016e-05,1,0.11,linear,"{'C': 1, 'gamma': 0.11, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012519407272338866,0.0002810067925797079,0.0053825855255126955,3.046963322964815e-05,1,0.12,linear,"{'C': 1, 'gamma': 0.12, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012508010864257813,0.0002727257443587051,0.005376958847045898,4.445304017682669e-05,1,0.13,linear,"{'C': 1, 'gamma': 0.13, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012507390975952149,0.0002814431463390224,0.005371856689453125,2.324765760475743e-05,1,0.14,linear,"{'C': 1, 'gamma': 0.14, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012508535385131836,0.0002793049629049485,0.005371999740600586,1.819082199405935e-05,1,0.15,linear,"{'C': 1, 'gamma': 0.15, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012499523162841798,0.00028925133819900024,0.005364131927490234,3.2029972190854e-05,1,0.16,linear,"{'C': 1, 'gamma': 0.16, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012512779235839844,0.00027709247280847856,0.005363893508911133,2.8698863383504185e-05,1,0.17,linear,"{'C': 1, 'gamma': 0.17, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012516164779663086,0.0002780285974901556,0.0053713321685791016,2.094232753450414e-05,1,0.18,linear,"{'C': 1, 'gamma': 0.18, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012510728836059571,0.00027376430968476813,0.0053732872009277345,2.7730202450189293e-05,1,0.19,linear,"{'C': 1, 'gamma': 0.19, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012525033950805665,0.00027319188074701687,0.005377292633056641,3.416231258733843e-05,1,0.2,linear,"{'C': 1, 'gamma': 0.2, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012514162063598632,0.0002814025067931322,0.005369329452514648,2.831007547893207e-05,1,0.21,linear,"{'C': 1, 'gamma': 0.21, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012505006790161134,0.0002728549301880463,0.005367565155029297,2.096858533977902e-05,1,0.22,linear,"{'C': 1, 'gamma': 0.22, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012566852569580077,0.0002480260308023138,0.005375480651855469,2.7861167115111608e-05,1,0.23,linear,"{'C': 1, 'gamma': 0.23, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012524223327636719,0.000270239759864719,0.0053689002990722655,3.357468638262954e-05,1,0.24,linear,"{'C': 1, 'gamma': 0.24, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012566089630126953,0.0002629571244090346,0.00539703369140625,3.747933996841141e-05,1,0.25,linear,"{'C': 1, 'gamma': 0.25, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.01254134178161621,0.00028093873571247776,0.005356264114379883,4.3386521861131566e-05,1,0.26,linear,"{'C': 1, 'gamma': 0.26, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
