,svmrbf_fpr,svmrbf_tpr,lr_fpr,lr_tpr,mlp_fpr,mlp_tpr
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15384615384615385,0.9423076923076923,0.15384615384615385,0.9423076923076923,0.13846153846153847,0.9807692307692307
2,1.0,1.0,1.0,1.0,1.0,1.0
