,method,acc,auc,recall
0,svmlin,0.8888888888888888,0.887719298245614,0.8421052631578947
1,svmrbf,0.8888888888888888,0.8893921683226184,0.8305084745762712
2,lr,0.8888888888888888,0.8893921683226184,0.8305084745762712
3,mlp,0.9401709401709402,0.9384164222873901,0.9090909090909091
