,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5
0,27,svm,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.8428571428571429,0.7857142857142857,0.8714285714285714,0.7571428571428571,0.8405797101449275,0.026621341705322266,0.01465916633605957,0.013836145401000977,0.013834714889526367,0.01434946060180664
1,55,svm,0.9818181818181818,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.8714285714285714,0.8,0.8571428571428571,0.8,0.8405797101449275,0.02022242546081543,0.015916824340820312,0.014744997024536133,0.01587510108947754,0.01443338394165039
2,83,svm,0.9759036144578314,0.963855421686747,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8428571428571429,0.8571428571428571,0.8857142857142857,0.9,0.855072463768116,0.017691612243652344,0.016032934188842773,0.016122817993164062,0.01632404327392578,0.01641988754272461
3,111,svm,0.972972972972973,0.963963963963964,0.972972972972973,0.972972972972973,0.972972972972973,0.9142857142857143,0.8714285714285714,0.9,0.8857142857142857,0.8840579710144928,0.019799470901489258,0.017948627471923828,0.01810598373413086,0.018041610717773438,0.01813220977783203
4,139,svm,0.9712230215827338,0.9640287769784173,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.9,0.8857142857142857,0.9142857142857143,0.9571428571428572,0.9420289855072463,0.022125720977783203,0.020519733428955078,0.02240443229675293,0.02073502540588379,0.020415544509887695
5,167,svm,0.9760479041916168,0.9700598802395209,0.9820359281437125,0.9760479041916168,0.9760479041916168,0.8714285714285714,0.8285714285714286,0.9142857142857143,0.9428571428571428,0.8985507246376812,0.025234460830688477,0.02332592010498047,0.023562908172607422,0.025203704833984375,0.023061275482177734
6,195,svm,0.9794871794871794,0.9743589743589743,0.9846153846153847,0.9743589743589743,0.9743589743589743,0.8714285714285714,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9130434782608695,0.02862715721130371,0.026617050170898438,0.026709556579589844,0.029368162155151367,0.0267484188079834
7,223,svm,0.9865470852017937,0.9775784753363229,0.9865470852017937,1.0,1.0,0.9,0.9285714285714286,0.9428571428571428,0.9857142857142858,0.927536231884058,0.03285551071166992,0.03033900260925293,0.030493736267089844,0.02975177764892578,0.030898571014404297
8,251,svm,0.9880478087649402,0.9800796812749004,0.9840637450199203,1.0,0.9920318725099602,0.9,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.03765106201171875,0.03563690185546875,0.03492236137390137,0.034194231033325195,0.03616786003112793
9,279,svm,0.989247311827957,0.982078853046595,0.985663082437276,0.989247311827957,0.982078853046595,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9855072463768116,0.04266977310180664,0.038605690002441406,0.03906869888305664,0.040213584899902344,0.03905081748962402
10,27,lr,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.8,0.7857142857142857,0.8,0.8,0.8115942028985508,0.0279693603515625,0.030765533447265625,0.031874895095825195,0.030776023864746094,0.03088545799255371
11,55,lr,0.9818181818181818,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.8428571428571429,0.7285714285714285,0.8285714285714286,0.8285714285714286,0.8115942028985508,0.03134942054748535,0.029989957809448242,0.030505657196044922,0.03011941909790039,0.030295372009277344
12,83,lr,0.9759036144578314,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.8857142857142857,0.8857142857142857,0.9,0.9,0.8695652173913043,0.031155824661254883,0.03183269500732422,0.03392601013183594,0.03200674057006836,0.03129220008850098
13,111,lr,0.972972972972973,0.963963963963964,0.972972972972973,0.972972972972973,0.972972972972973,0.8714285714285714,0.8714285714285714,0.8571428571428571,0.9428571428571428,0.9130434782608695,0.03181815147399902,0.03229832649230957,0.04518842697143555,0.03531002998352051,0.03403139114379883
14,139,lr,0.9712230215827338,0.9640287769784173,0.9640287769784173,0.9640287769784173,0.9640287769784173,0.8571428571428571,0.8714285714285714,0.8714285714285714,0.9428571428571428,0.9130434782608695,0.03327155113220215,0.03850674629211426,0.03608274459838867,0.03649425506591797,0.03704357147216797
