mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0209975719451904,0.000403189021164112,0.0105006217956543,0.000127593943303456,30,0.31,rbf,"{'C': 30, 'gamma': 0.31, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.942028985507246,0.948405797101449,0.0146371979620435,1
0.0222620010375977,0.000498731380863336,0.0114070892333984,0.000176801766139833,20,0.31,rbf,"{'C': 20, 'gamma': 0.31, 'kernel': 'rbf'}",0.914285714285714,0.957142857142857,0.942857142857143,0.971428571428571,0.942028985507246,0.945548654244306,0.0189799861471898,2
0.0221837520599365,0.000474519763251703,0.0115777969360352,0.000122096423992298,20,0.33,rbf,"{'C': 20, 'gamma': 0.33, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0209986209869385,0.000438998093561733,0.0104401588439941,0.000176359265656874,30,0.3,rbf,"{'C': 30, 'gamma': 0.3, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.021105432510376,0.000348870326299827,0.010637378692627,0.00031672587257695,30,0.32,rbf,"{'C': 30, 'gamma': 0.32, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0217015266418457,0.000935178651078981,0.0104743957519531,0.000187544085509978,30,0.33,rbf,"{'C': 30, 'gamma': 0.33, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0213937282562256,0.000536326319661863,0.010981273651123,0.00068187739298889,40,0.3,rbf,"{'C': 40, 'gamma': 0.3, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0212979316711426,0.000445498930609937,0.010690450668335,0.000116227528977738,40,0.31,rbf,"{'C': 40, 'gamma': 0.31, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0216868877410889,0.000173542497560574,0.0109594821929932,0.000215842834969359,40,0.32,rbf,"{'C': 40, 'gamma': 0.32, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0226596355438232,0.00120281427511545,0.0111644268035889,0.000240982715484652,40,0.33,rbf,"{'C': 40, 'gamma': 0.33, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0219172954559326,0.000761513068057198,0.0106819629669189,0.000233801753663742,50,0.31,rbf,"{'C': 50, 'gamma': 0.31, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0224355697631836,0.00111482801742183,0.0108400344848633,0.000279415410310258,50,0.32,rbf,"{'C': 50, 'gamma': 0.32, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0216189861297607,0.000482757380656893,0.0108201026916504,0.00010769252943286,50,0.33,rbf,"{'C': 50, 'gamma': 0.33, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0213188171386719,0.000409439346159644,0.0105795860290527,9.19373697709309E-05,60,0.31,rbf,"{'C': 60, 'gamma': 0.31, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0217073917388916,0.000515163831793911,0.0108135223388672,0.000186892697203839,60,0.32,rbf,"{'C': 60, 'gamma': 0.32, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0215630054473877,0.000478959804544624,0.0109015941619873,0.000218826208875366,60,0.33,rbf,"{'C': 60, 'gamma': 0.33, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0218951225280762,0.00115297083602093,0.0107466697692871,0.000214240945254504,70,0.32,rbf,"{'C': 70, 'gamma': 0.32, 'kernel': 'rbf'}",0.928571428571429,0.957142857142857,0.942857142857143,0.971428571428571,0.927536231884058,0.945507246376812,0.0168766398648472,3
0.0205541610717773,0.0004072183914985,0.0100128173828125,0.000357417375289201,10,0.19,rbf,"{'C': 10, 'gamma': 0.19, 'kernel': 'rbf'}",0.942857142857143,0.942857142857143,0.957142857142857,0.971428571428571,0.91304347826087,0.945465838509317,0.0193661369141914,18
0.0210339069366455,0.0010758005607045,0.0100136756896973,0.000307489860292107,10,0.2,rbf,"{'C': 10, 'gamma': 0.2, 'kernel': 'rbf'}",0.942857142857143,0.942857142857143,0.957142857142857,0.971428571428571,0.91304347826087,0.945465838509317,0.0193661369141914,18
