mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state,param_shuffle,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8715997219085694,0.07425144603459594,0.0034056186676025392,0.000302375800832228,logistic,0.0001,"(100, 100)",0.001,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9627743271221533,0.011367496662313053,28
0.6096913814544678,0.017597701218418926,0.0030915260314941405,3.638314388068225e-05,logistic,0.0001,"(100, 100)",0.001584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9627743271221533,0.011367496662313053,28
0.469065523147583,0.017748377214052376,0.0032951831817626953,0.0003796484804017117,logistic,0.0001,"(100, 100)",0.0025118864315095794,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.0025118864315095794, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9627743271221533,0.011367496662313053,28
0.37333064079284667,0.014896144540826491,0.0030561447143554687,1.698009019064813e-05,logistic,0.0001,"(100, 100)",0.003981071705534973,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.003981071705534973, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
0.3083322525024414,0.011076945402973644,0.003057861328125,1.6208676288569553e-05,logistic,0.0001,"(100, 100)",0.00630957344480193,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.00630957344480193, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
0.26478066444396975,0.010337791253208852,0.003054380416870117,5.124613108683748e-06,logistic,0.0001,"(100, 100)",0.01,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9710144927536232,0.9627743271221533,0.006898356855547094,28
0.22860655784606934,0.007850054658261597,0.00324859619140625,0.00038467717590313217,logistic,0.0001,"(100, 100)",0.01584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.18227033615112304,0.002514532140651293,0.0030478477478027345,1.8522285062304684e-05,logistic,0.0001,"(100, 100)",0.025118864315095808,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.025118864315095808, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9714285714285714,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9420289855072463,0.9569772256728779,0.01296562258325968,325
0.3152647018432617,0.06282110816958485,0.0030405521392822266,1.4765022181323362e-05,logistic,0.0001,"(100, 100)",0.039810717055349734,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.039810717055349734, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9565217391304348,0.9627329192546584,0.021415514970941574,87
0.4218780517578125,0.054348579540526555,0.0030364990234375,7.513779582377601e-06,logistic,0.0001,"(100, 100)",0.06309573444801933,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.06309573444801933, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9285714285714286,0.9571428571428572,0.9,0.9857142857142858,0.8840579710144928,0.9310973084886129,0.03700677435434335,746
0.43813581466674806,0.0956805223828028,0.0030544281005859377,5.056709119194084e-05,logistic,0.0001,"(100, 100)",0.1,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.8857142857142857,0.9285714285714286,0.9142857142857143,1.0,0.8840579710144928,0.9225258799171844,0.04228844228362188,772
0.8803251266479493,0.024248436228635054,0.003017139434814453,7.288592836107443e-06,logistic,0.0001,"(100, 80)",0.001,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.001, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9714285714285714,0.9285714285714286,0.9714285714285714,0.9420289855072463,0.954120082815735,0.016776370814765282,411
0.6610347747802734,0.012253608601163826,0.0031903266906738283,0.0002675774336858376,logistic,0.0001,"(100, 80)",0.001584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.001584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9420289855072463,0.9512629399585922,0.014669493165163892,486
0.563923454284668,0.015036716534078075,0.003089570999145508,1.1850722525410285e-05,logistic,0.0001,"(100, 80)",0.0025118864315095794,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.0025118864315095794, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9420289855072463,0.9512629399585922,0.014669493165163892,486
0.42920947074890137,0.014286570875017456,0.003087472915649414,2.007274888580099e-05,logistic,0.0001,"(100, 80)",0.003981071705534973,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.003981071705534973, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.9541614906832299,0.013973912988262853,368
0.3316448211669922,0.0122433522099971,0.0030792236328125,1.2433843206381172e-05,logistic,0.0001,"(100, 80)",0.00630957344480193,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.00630957344480193, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.2503373146057129,0.011543850781704975,0.0030877113342285155,1.0826828928084338e-05,logistic,0.0001,"(100, 80)",0.01,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.01, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9541614906832298,0.010660093392757738,375
0.19646844863891602,0.006490684337796398,0.0030544281005859377,9.272490584093562e-06,logistic,0.0001,"(100, 80)",0.01584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.01584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9541614906832298,0.010660093392757738,375
0.18498854637145995,0.009005416951543948,0.003078603744506836,5.011556264221665e-06,logistic,0.0001,"(100, 80)",0.025118864315095808,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.025118864315095808, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.9513043478260869,0.014521946345401918,478
0.30394458770751953,0.054462727272283386,0.0030818939208984374,2.6091141970600272e-05,logistic,0.0001,"(100, 80)",0.039810717055349734,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.039810717055349734, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9130434782608695,0.9483229813664596,0.019819018338594882,604
0.3623360157012939,0.06671825899859728,0.0030701160430908203,1.5124835697072407e-05,logistic,0.0001,"(100, 80)",0.06309573444801933,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.06309573444801933, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9285714285714286,0.9571428571428572,0.8714285714285714,0.9571428571428572,0.8985507246376812,0.922567287784679,0.033522987084732316,771
0.4070995807647705,0.09164641453304255,0.0030662059783935548,1.445107698227336e-05,logistic,0.0001,"(100, 80)",0.1,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 80), 'learning_rate_init': 0.1, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9,0.9142857142857143,0.8857142857142857,0.9714285714285714,0.927536231884058,0.9197929606625259,0.02935861607454882,775
0.9036742687225342,0.017070694197719675,0.003036165237426758,1.7631759171634392e-05,logistic,0.0001,"(100, 60)",0.001,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.001, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9420289855072463,0.954120082815735,0.010871122830327137,411
0.6720723628997802,0.013547155464695915,0.0030508518218994142,2.2795808667493687e-05,logistic,0.0001,"(100, 60)",0.001584893192461114,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.001584893192461114, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.9570186335403728,0.009038494292462734,266
0.5076592922210693,0.014230782802957701,0.0030483722686767576,5.123281867432897e-06,logistic,0.0001,"(100, 60)",0.0025118864315095794,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.0025118864315095794, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
0.3872182846069336,0.013597373733834288,0.0031772136688232424,0.0002781668460688735,logistic,0.0001,"(100, 60)",0.003981071705534973,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.003981071705534973, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
0.30368986129760744,0.02219300911051223,0.003031015396118164,9.52003923477589e-06,logistic,0.0001,"(100, 60)",0.00630957344480193,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.00630957344480193, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9599171842650105,0.010602840043313114,114
0.21559710502624513,0.006651585335584132,0.0030510425567626953,6.562793495976712e-05,logistic,0.0001,"(100, 60)",0.01,50000,74,False,adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 60), 'learning_rate_init': 0.01, 'max_iter': 50000, 'random_state': 74, 'shuffle': False, 'solver': 'adam'}",0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.9570600414078674,0.012685683901526534,259
