mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014488697052001953,0.00036305227003295416,0.006200599670410156,0.00015800993426007056,0.001,50000,l2,74,newton-cg,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'newton-cg'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.013893222808837891,0.000346678834355003,0.006297969818115234,1.7525695512853246e-05,0.001,50000,l2,74,lbfgs,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'lbfgs'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.045666837692260744,0.0020200986674149273,0.0061835765838623045,9.760291721934955e-05,0.001,50000,l2,74,sag,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'sag'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.04686918258666992,0.008050144619998114,0.006135368347167968,0.00015309277096365724,0.001,50000,none,74,newton-cg,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'newton-cg'}",0.8142857142857143,0.9571428571428572,0.8857142857142857,0.9428571428571428,0.8695652173913043,0.8939130434782608,0.0517572835810394,200
0.02303280830383301,0.001757723621122347,0.006256532669067383,9.604925563185639e-06,0.001,50000,none,74,lbfgs,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'lbfgs'}",0.9285714285714286,0.9571428571428572,0.9142857142857143,0.9285714285714286,0.927536231884058,0.9312215320910973,0.014045387514212975,74
6.725055122375489,2.0174768693572362,0.005206871032714844,0.0007484180356634943,0.001,50000,none,74,sag,"{'C': 0.001, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'sag'}",0.9142857142857143,0.9571428571428572,0.9,0.9857142857142858,0.8840579710144928,0.92824016563147,0.03763758771314312,128
0.01487112045288086,0.0008997050007535055,0.006058645248413086,1.2810334754189616e-05,0.0013894954943731374,50000,l2,74,newton-cg,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'newton-cg'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.014188718795776368,0.0009043247492883894,0.0062373638153076175,2.455438209822843e-05,0.0013894954943731374,50000,l2,74,lbfgs,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'lbfgs'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.047392845153808594,0.0017843363884866188,0.006224489212036133,9.645320784937784e-06,0.0013894954943731374,50000,l2,74,sag,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'sag'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.04644112586975098,0.00790413960421538,0.006232738494873047,1.16975842754706e-05,0.0013894954943731374,50000,none,74,newton-cg,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'newton-cg'}",0.8142857142857143,0.9571428571428572,0.8857142857142857,0.9428571428571428,0.8695652173913043,0.8939130434782608,0.0517572835810394,200
0.022730541229248048,0.0017202116785784538,0.006195545196533203,2.680274477666218e-05,0.0013894954943731374,50000,none,74,lbfgs,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'lbfgs'}",0.9285714285714286,0.9571428571428572,0.9142857142857143,0.9285714285714286,0.927536231884058,0.9312215320910973,0.014045387514212975,74
6.803841161727905,2.047352935885818,0.004870462417602539,0.000758402438222319,0.0013894954943731374,50000,none,74,sag,"{'C': 0.0013894954943731374, 'max_iter': 50000, 'penalty': 'none', 'random_state': 74, 'solver': 'sag'}",0.9142857142857143,0.9571428571428572,0.9,0.9857142857142858,0.8840579710144928,0.92824016563147,0.03763758771314312,128
0.01515054702758789,0.0009882508370902983,0.006002664566040039,2.230099639695459e-05,0.0019306977288832496,50000,l2,74,newton-cg,"{'C': 0.0019306977288832496, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'newton-cg'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
0.013528251647949218,0.00023355835452069975,0.006176471710205078,1.3521507771839015e-05,0.0019306977288832496,50000,l2,74,lbfgs,"{'C': 0.0019306977288832496, 'max_iter': 50000, 'penalty': 'l2', 'random_state': 74, 'solver': 'lbfgs'}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,292
